,항목,유성구,진잠동,학하동,상대동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동
47세,계,"6,086",479,233,448,301,547,430,539,719,431,421,481,624,433
,남,"2,987",259,110,199,167,277,209,254,372,213,201,228,291,207
,여,"3,099",220,123,249,134,270,221,285,347,218,220,253,333,226
48세,계,"6,363",506,284,445,362,573,446,518,704,393,465,490,700,477
,남,"3,066",233,150,205,191,263,217,249,329,202,217,243,346,221
,여,"3,297",273,134,240,171,310,229,269,375,191,248,247,354,256
49세,계,"6,203",454,233,427,367,599,439,459,684,442,450,522,656,471
,남,"3,104",243,118,213,188,314,204,222,321,219,223,274,330,235
,여,"3,099",211,115,214,179,285,235,237,363,223,227,248,326,236
50세,계,"6,475",536,270,385,365,591,496,538,708,433,489,539,658,467
,남,"3,224",276,122,204,200,286,238,254,351,233,238,285,331,206
,여,"3,251",260,148,181,165,305,258,284,357,200,251,254,327,261
51세,계,"6,209",528,264,397,429,590,390,484,652,419,509,502,634,411
,남,"3,132",276,134,196,225,287,200,234,329,211,262,256,337,185
,여,"3,077",252,130,201,204,303,190,250,323,208,247,246,297,226
52세,계,"6,093",505,252,380,379,572,406,516,606,421,502,534,601,419
,남,"2,970",265,118,167,190,272,203,249,288,215,239,245,327,192
,여,"3,123",240,134,213,189,300,203,267,318,206,263,289,274,227
53세,계,"6,149",539,258,381,437,634,378,455,640,398,471,558,559,441
,남,"3,007",264,122,191,221,309,183,227,291,198,230,278,308,185
,여,"3,142",275,136,190,216,325,195,228,349,200,241,280,251,256
54세,계,"5,344",471,258,327,386,541,347,408,505,332,410,504,457,398
,남,"2,648",246,121,157,188,243,172,202,251,178,180,278,262,170
,여,"2,696",225,137,170,198,298,175,206,254,154,230,226,195,228
55세,계,"5,005",436,275,308,453,515,275,337,478,322,399,446,401,360
,남,"2,655",229,135,164,249,271,150,181,244,171,199,246,241,175
,여,"2,350",207,140,144,204,244,125,156,234,151,200,200,160,185
56세,계,"4,982",434,265,315,377,554,314,357,444,299,429,458,350,386
,남,"2,419",208,119,145,191,256,178,176,220,139,190,249,180,168
,여,"2,563",226,146,170,186,298,136,181,224,160,239,209,170,218
57세,계,"4,926",465,303,333,381,582,245,327,453,333,399,410,332,363
,남,"2,463",232,147,149,186,285,124,170,222,172,205,224,176,171
,여,"2,463",233,156,184,195,297,121,157,231,161,194,186,156,192
58세,계,"4,524",377,284,274,350,543,243,319,427,270,407,347,328,355
,남,"2,263",195,126,130,190,269,125,172,198,146,217,170,168,157
,여,"2,261",182,158,144,160,274,118,147,229,124,190,177,160,198
59세,계,"5,038",438,327,310,461,614,246,326,466,300,417,421,321,391
,남,"2,552",228,148,148,240,304,120,178,226,156,207,237,187,173
,여,"2,486",210,179,162,221,310,126,148,240,144,210,184,134,218
60세,계,"5,259",514,351,370,462,600,281,355,486,311,408,400,326,395
,남,"2,595",263,171,171,234,280,145,178,235,152,205,210,167,184
,여,"2,664",251,180,199,228,320,136,177,251,159,203,190,159,211
61세,계,"4,960",430,333,338,419,637,241,298,500,302,351,386,309,416
,남,"2,371",212,152,167,217,292,118,135,234,151,183,202,151,157
,여,"2,589",218,181,171,202,345,123,163,266,151,168,184,158,259
62세,계,"4,615",399,308,317,350,631,250,307,465,263,343,331,281,370
,남,"2,315",202,164,148,183,303,129,169,217,148,179,171,143,159
,여,"2,300",197,144,169,167,328,121,138,248,115,164,160,138,211
63세,계,"3,790",360,254,233,321,508,187,248,367,202,296,252,270,292
,남,"1,842",177,134,104,168,241,95,109,169,96,162,128,131,128
,여,"1,948",183,120,129,153,267,92,139,198,106,134,124,139,164
64세,계,"3,836",372,229,251,354,520,168,213,381,231,310,275,219,313
